[2022-02-25 11:59:41,730] multiqc                                            [DEBUG  ]  No MultiQC config found: /opt/conda/envs/nf-core-atacseq-1.2.1/lib/python3.7/site-packages/multiqc_config.yaml
[2022-02-25 11:59:41,758] multiqc                                            [DEBUG  ]  Added to filename clean extensions: ['fastq.gz', '_trimmed', '_val', 'sorted.bam', '.Lb', 'mkD', 'clN', 'mLb', 'mRp', '_peaks']
[2022-02-25 11:59:41,759] multiqc                                            [DEBUG  ]  Added to filename patterns: {'cutadapt': {'fn': '*trimming_report.txt'}, 'preseq': {'fn': '*.ccurve.txt'}, 'deeptools/plotFingerprintOutRawCounts': {'fn': '*plotFingerprint*'}, 'deeptools/plotProfile': {'fn': '*plotProfile*'}}
[2022-02-25 11:59:41,760] multiqc                                            [DEBUG  ]  Command used: /opt/conda/envs/nf-core-atacseq-1.2.1/bin/multiqc . -f
[2022-02-25 11:59:41,767] multiqc                                            [DEBUG  ]  Could not connect to multiqc.info for version check: <urlopen error [Errno -3] Temporary failure in name resolution>
[2022-02-25 11:59:41,767] multiqc                                            [INFO   ]  This is MultiQC v1.9
[2022-02-25 11:59:41,767] multiqc                                            [DEBUG  ]  Command     : /opt/conda/envs/nf-core-atacseq-1.2.1/bin/multiqc . -f
[2022-02-25 11:59:41,767] multiqc                                            [DEBUG  ]  Working dir : /scratch/1508/nxf.5FzYM0SA0y
[2022-02-25 11:59:41,767] multiqc                                            [INFO   ]  Template    : default
[2022-02-25 11:59:41,767] multiqc                                            [DEBUG  ]  Running Python 3.7.6 | packaged by conda-forge | (default, Jun  1 2020, 18:57:50)  [GCC 7.5.0]
[2022-02-25 11:59:41,767] multiqc                                            [INFO   ]  Searching   : /scratch/1508/nxf.5FzYM0SA0y
[2022-02-25 11:59:41,768] multiqc                                            [INFO   ]  Only using modules custom_content, fastqc, cutadapt, samtools, picard, preseq, featureCounts, deeptools
[2022-02-25 11:59:41,768] multiqc                                            [INFO   ]  Excluding modules 'general_stats'
[2022-02-25 11:59:41,768] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, fastqc, cutadapt, fastqc, samtools, samtools, preseq, samtools, picard, deeptools, featureCounts, samtools, picard, featureCounts
[2022-02-25 11:59:41,768] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /scratch/1508/tmpdeavv8o3
[2022-02-25 11:59:41,919] multiqc                                            [DEBUG  ]  Ignored 195 search patterns as didn't match running modules.
[2022-02-25 11:59:59,390] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.3.0
[2022-02-25 11:59:59,391] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.3.0
[2022-02-25 11:59:59,531] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-atacseq-summary: Found 1 sample (html)
[2022-02-25 11:59:59,531] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2022-02-25 11:59:59,535] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_frip_score: Found 16 samples (bargraph)
[2022-02-25 11:59:59,535] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_annotation: Found 16 samples (bargraph)
[2022-02-25 11:59:59,536] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_count: Found 16 samples (bargraph)
[2022-02-25 11:59:59,536] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_clustering: Found 16 samples (heatmap)
[2022-02-25 11:59:59,536] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_pca: Found 16 samples (scatter)
[2022-02-25 11:59:59,544] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 11:59:59,711] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 11:59:59,902] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:00,080] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:00,257] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:00,468] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:00,643] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:00,819] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:01,148] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:01,317] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:01,500] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:01,674] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:01,852] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:02,034] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:02,266] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:02,440] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:02,634] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:02,811] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:03,028] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:03,230] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:03,448] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:03,641] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:03,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:04,103] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:04,289] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:04,461] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:04,658] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:04,831] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,008] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,177] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,370] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,544] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,720] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:05,893] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:06,069] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:06,250] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:06,451] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:06,634] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:06,812] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,011] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,190] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,365] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,529] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R2_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,707] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:07,895] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:08,083] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:08,295] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:08,496] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:08,702] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:08,885] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,060] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,240] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C24_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,412] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,593] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,763] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C4_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:09,942] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R1_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:10,117] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C1_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:10,290] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:10,464] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:10,722] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK0_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:10,894] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK4_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,082] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK1_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,278] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'C0_R1_T2_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,443] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'IK24_R2_T2_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C24_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C24_R1_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C24_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK1_R2_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK24_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C0_R1_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK0_R1_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C24_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK1_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C0_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C24_R2_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C0_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK24_R1_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,638] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK4_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK24_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK4_R2_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C0_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R1_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK0_R2_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK1_R1_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK24_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK4_R1_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R2_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C4_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK0_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK1_R2_T2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK1_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C1_R2_T2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'IK0_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-02-25 12:00:11,639] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'C0_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
